list-il-m,4,4,1,48,426133,8877
list-i-s,4,4,1,48,396938,8269
list-id-s,4,4,1,48,456742,9515
list-idl-s,4,4,1,48,462537,9636
list-dl-s,4,4,1,48,444670,9263
list-d-s,4,4,1,48,440052,9167
list-l-s,4,4,1,48,434044,9042
list-il-s,4,4,1,48,492035,10250
list-l-none,4,8,1,96,742463,7733
list-il-none,4,8,1,96,820935,8551
list-i-m,4,8,1,96,454911,4738
list-id-m,4,8,1,96,497163,5178
list-idl-m,4,8,1,96,749927,7811
list-dl-m,4,8,1,96,674602,7027
list-d-m,4,8,1,96,473593,4933
list-l-m,4,8,1,96,551311,5742
list-il-m,4,8,1,96,661011,6885
list-i-s,4,8,1,96,494526,5151
list-id-s,4,8,1,96,467161,4866
list-idl-s,4,8,1,96,745103,7761
list-dl-s,4,8,1,96,721394,7514
list-d-s,4,8,1,96,418646,4360
list-l-s,4,8,1,96,576572,6005
list-il-s,4,8,1,96,747951,7791
list-i-none,4,16,1,192,500915,2608
list-i-m,4,16,1,192,548422,2856
list-id-m,4,16,1,192,822551,4284
list-idl-m,4,16,1,192,1030292,5366
list-dl-m,4,16,1,192,1030172,5365
list-d-m,4,16,1,192,518551,2700
list-l-m,4,16,1,192,1060482,5523
list-il-m,4,16,1,192,914213,4761
list-i-s,4,16,1,192,535274,2787
list-id-s,4,16,1,192,825939,4301
list-idl-s,4,16,1,192,1516003,7895
list-dl-s,4,16,1,192,1319145,6870
list-d-s,4,16,1,192,582529,3034
list-l-s,4,16,1,192,1137230,5923
list-il-s,4,16,1,192,1319376,6871
list-i-m,4,32,1,384,656892,1710
list-id-m,4,32,1,384,886120,2307
list-idl-m,4,32,1,384,1870894,4872
list-dl-m,4,32,1,384,1820103,4739
list-d-m,4,32,1,384,714263,1860
list-l-m,4,32,1,384,1615130,4206
list-il-m,4,32,1,384,1835541,4780
list-i-s,4,32,1,384,1089038,2836
list-id-s,4,32,1,384,1306410,3402
list-idl-s,4,32,1,384,3764841,9804
list-dl-s,4,32,1,384,3730921,9715
list-d-s,4,32,1,384,828966,2158
list-l-s,4,32,1,384,3323398,8654
list-il-s,4,32,1,384,3611230,9404
list-i-m,12,32,1,1152,1836824,1594
list-d-m,12,32,1,1152,1674952,1453
list-il-m,12,32,1,1152,4699943,4079
list-dl-m,12,32,1,1152,4943455,4291
list-i-s,12,32,1,1152,6937191,6021
list-d-s,12,32,1,1152,5415710,4701
list-il-s,12,32,1,1152,37391332,32457
list-dl-s,12,32,1,1152,32242047,27987
list-none-m,4,1000,1,12000,25444184,2120
list-none-m,4,1000,1,12000,23775690,1981
list-none-m,4,1000,1,12000,25419666,2118
list-none-s,4,1000,1,12000,147925927,12327
list-none-s,4,1000,1,12000,153731777,12810
list-none-s,4,1000,1,12000,120914999,10076
list-none-s,4,1000,1,12000,149828763,12485
list-none-none,1,10,1,30,203116,6770
list-none-none,1,100,1,300,265501,885
list-none-none,1,1000,1,3000,6406968,2135
list-none-none,1,10000,1,30000,704859314,23495
list-none-none,1,20000,1,60000,539272906,8987
list-none-none,8,1,1,24,870498,36270
list-none-none,8,10,1,240,887465,3697
list-i-none,8,1,1,24,848731,35363
list-i-m,8,1,1,24,742078,30919
list-id-m,8,1,1,24,744483,31020
list-idl-m,8,1,1,24,918525,38271
list-dl-m,8,1,1,24,886677,36944
list-d-m,8,1,1,24,803256,33469
list-l-m,8,1,1,24,726407,30266
list-il-m,8,1,1,24,780793,32533
list-i-s,8,1,1,24,910195,37924
list-id-s,8,1,1,24,817846,34076
list-idl-s,8,1,1,24,889396,37058
list-dl-s,8,1,1,24,916705,38196
list-d-s,8,1,1,24,699382,29140
list-l-s,8,1,1,24,812897,33870
list-il-s,8,1,1,24,752678,31361
list-i-none,8,2,1,48,790635,16471
list-idl-none,8,2,1,48,778837,16225
list-dl-none,8,2,1,48,777267,16193
list-l-none,8,2,1,48,729427,15196
list-il-none,8,2,1,48,765214,15941
list-i-m,8,2,1,48,756468,15759
list-id-m,8,2,1,48,968521,20177
list-idl-m,8,2,1,48,924411,19258
list-dl-m,8,2,1,48,845909,17623
list-d-m,8,2,1,48,703618,14658
list-l-m,8,2,1,48,818445,17050
list-il-m,8,2,1,48,814525,16969
list-i-s,8,2,1,48,843230,17567
list-id-s,8,2,1,48,768124,16002
list-idl-s,8,2,1,48,869505,18114
list-dl-s,8,2,1,48,748647,15596
list-d-s,8,2,1,48,709966,14790
list-l-s,8,2,1,48,783819,16329
list-il-s,8,2,1,48,743459,15488
list-id-none,8,4,1,96,831522,8661
list-dl-none,8,4,1,96,849850,8852
list-il-none,8,4,1,96,1068958,11134
list-i-m,8,4,1,96,867192,9033
list-id-m,8,4,1,96,920593,9589
list-idl-m,8,4,1,96,848113,8834
list-dl-m,8,4,1,96,1070222,11148
list-d-m,8,4,1,96,824980,8593
list-l-m,8,4,1,96,922367,9607
list-il-m,8,4,1,96,955563,9953
list-i-s,8,4,1,96,923021,9614
list-id-s,8,4,1,96,983003,10239
list-idl-s,8,4,1,96,903724,9413
list-dl-s,8,4,1,96,901244,9387
list-d-s,8,4,1,96,799146,8324
list-l-s,8,4,1,96,858453,8942
list-il-s,8,4,1,96,871927,9082
list-l-none,8,8,1,192,1569150,8172
list-i-m,8,8,1,192,781860,4072
list-id-m,8,8,1,192,1018773,5306
list-idl-m,8,8,1,192,1230669,6409
list-dl-m,8,8,1,192,1145625,5966
list-d-m,8,8,1,192,876189,4563
list-l-m,8,8,1,192,1011485,5268
list-il-m,8,8,1,192,1352589,7044
list-i-s,8,8,1,192,864706,4503
list-id-s,8,8,1,192,851922,4437
list-idl-s,8,8,1,192,1824525,9502
list-dl-s,8,8,1,192,1610480,8387
list-d-s,8,8,1,192,878218,4574
list-l-s,8,8,1,192,1164035,6062
list-il-s,8,8,1,192,1243911,6478
list-i-m,8,16,1,384,1068174,2781
list-id-m,8,16,1,384,1117562,2910
list-idl-m,8,16,1,384,1827020,4757
list-dl-m,8,16,1,384,1788597,4657
list-d-m,8,16,1,384,1084150,2823
list-l-m,8,16,1,384,1498829,3903
list-il-m,8,16,1,384,1641348,4274
list-i-s,8,16,1,384,2577956,6713
list-id-s,8,16,1,384,1672162,4354
list-idl-s,8,16,1,384,5034123,13109
list-dl-s,8,16,1,384,4514441,11756
list-d-s,8,16,1,384,1147138,2987
list-l-s,8,16,1,384,3723203,9695
list-il-s,8,16,1,384,4054736,10559
list-il-none,8,32,1,768,18120127,23593
list-i-m,8,32,1,768,1473992,1919
list-id-m,8,32,1,768,1627936,2119
list-idl-m,8,32,1,768,3476785,4527
list-dl-m,8,32,1,768,3412178,4442
list-d-m,8,32,1,768,1459001,1899
list-l-m,8,32,1,768,2953078,3845
list-il-m,8,32,1,768,3286614,4279
list-i-s,8,32,1,768,2381647,3101
list-id-s,8,32,1,768,5046993,6571
list-idl-s,8,32,1,768,14331059,18660
list-dl-s,8,32,1,768,12179413,15858
list-d-s,8,32,1,768,3309232,4308
list-l-s,8,32,1,768,12007952,15635
list-il-s,8,32,1,768,12742905,16592
list-i-m,12,32,1,1152,2096714,1820
list-d-m,12,32,1,1152,1999627,1735
list-il-m,12,32,1,1152,5290307,4592
list-dl-m,12,32,1,1152,4660882,4045
list-i-s,12,32,1,1152,7861164,6823
list-d-s,12,32,1,1152,7238002,6282
list-il-s,12,32,1,1152,33849170,29382
list-dl-s,12,32,1,1152,33748473,29295
list-none-m,8,1000,1,24000,52022237,2167
list-none-m,8,1000,1,24000,50449391,2102
list-none-m,8,1000,1,24000,49168821,2048
list-none-s,8,1000,1,24000,829450669,34560
list-none-s,8,1000,1,24000,860437764,35851
list-none-s,8,1000,1,24000,840553365,35023
list-none-s,8,1000,1,24000,829037245,34543
list-none-none,1,10,1,30,167119,5570
list-none-none,1,100,1,300,263060,876
list-none-none,1,1000,1,3000,6684764,2228
list-none-none,1,10000,1,30000,677496049,22583
list-none-none,1,20000,1,60000,534955478,8915
list-id-none,16,1,1,48,1293329,26944
list-dl-none,16,1,1,48,1376023,28667
list-d-none,16,1,1,48,2938531,61219
list-i-m,16,1,1,48,1397285,29110
list-id-m,16,1,1,48,1206005,25125
list-idl-m,16,1,1,48,1534790,31974
list-dl-m,16,1,1,48,1311057,27313
list-d-m,16,1,1,48,1185570,24699
list-l-m,16,1,1,48,1153301,24027
list-il-m,16,1,1,48,1254147,26128
list-i-s,16,1,1,48,1383781,28828
list-id-s,16,1,1,48,1287536,26823
list-idl-s,16,1,1,48,1396257,29088
list-dl-s,16,1,1,48,1540775,32099
list-d-s,16,1,1,48,1358500,28302
list-l-s,16,1,1,48,1273828,26538
list-il-s,16,1,1,48,1256260,26172
list-i-none,16,2,1,96,2996794,31216
list-dl-none,16,2,1,96,1322981,13781
list-d-none,16,2,1,96,1211917,12624
list-l-none,16,2,1,96,1308658,13631
list-il-none,16,2,1,96,1379287,14367
list-i-m,16,2,1,96,1224594,12756
list-id-m,16,2,1,96,1649903,17186
list-idl-m,16,2,1,96,1219804,12706
list-dl-m,16,2,1,96,1518271,15815
list-d-m,16,2,1,96,1247640,12996
list-l-m,16,2,1,96,1258361,13107
list-il-m,16,2,1,96,1246987,12989
list-i-s,16,2,1,96,1346830,14029
